#layer 1	layer 2	layer 3	layer 4	layer 5	layer 6	layer 7	layer 8	BandID	phiID
1048	1030	1049	1031	1049	1049	1031	1031	25	35
1048	1030	1049	1031	1049	1049	1032	1032	25	35
1048	1048	1049	1049	1049	1049	1031	1031	25	29
1048	1048	1049	1049	1049	1049	1032	1032	25	29
1048	1048	1049	1049	1049	1049	1049	1049	25	24
1048	1048	1049	1049	1049	1049	1050	1050	25	24
1066	1048	1067	1049	1049	1049	1049	1049	25	18
1066	1048	1067	1049	1049	1049	1050	1050	25	18
1066	1048	1067	1049	1067	1067	1049	1049	25	12
1066	1048	1067	1049	1067	1067	1050	1050	25	12
1066	1066	1067	1067	1067	1067	1049	1049	25	4
1066	1066	1067	1067	1067	1067	1050	1050	25	4
1031	1013	1031	1013	1031	1031	1014	1014	26	57
1031	1013	1031	1013	1032	1032	1014	1014	26	57
1031	1031	1031	1031	1031	1031	1014	1014	26	52
1031	1031	1031	1031	1031	1031	1032	1032	26	46
1031	1031	1031	1031	1032	1032	1014	1014	26	52
